State,1992 Result,1996 Result,2000 Result,2004 Result,2008 Result,2012 Result,,
Alabama,0,0,0,0,0,0
Alaska,0,0,0,0,0,0
Arizona,0,1,0,0,0,0
Arkansas,1,1,0,0,0,0
California,1,1,1,1,1,1
Colorado,1,0,0,0,1,1
Connecticut,1,1,1,1,1,1
Delaware,1,1,1,1,1,1
District of Columbia,1,1,1,1,1,1
Florida,0,1,0,0,1,1
Georgia,1,0,0,0,0,0
Hawaii,1,1,1,1,1,1
Idaho,0,0,0,0,0,0
Illinois,1,1,1,1,1,1
Indiana,0,0,0,0,1,0
Iowa,1,1,1,0,1,1
Kansas,0,0,0,0,0,0
Kentucky,1,1,0,0,0,0
Louisiana,1,1,0,0,0,0
Maine,1,1,1,1,1,1
Maryland,1,1,1,1,1,1
Massachusetts,1,1,1,1,1,1
Michigan,1,1,1,1,1,1
Minnesota,1,1,1,1,1,1
Mississippi,0,0,0,0,0,0
Missouri,1,1,0,0,0,0
Montana,1,0,0,0,0,0
Nebraska,0,0,0,0,0,0
Nevada,1,1,0,0,1,1
New Hampshire,1,1,0,1,1,1
New Jersey,1,1,1,1,1,1
New Mexico,1,1,1,0,1,1
New York,1,1,1,1,1,1
North Carolina,0,0,0,0,1,0
North Dakota,0,0,0,0,0,0
Ohio,1,1,0,0,1,1
Oklahoma,0,0,0,0,0,0
Oregon,1,1,1,1,1,1
Pennsylvania,1,1,1,1,1,1
Rhode Island,1,1,1,1,1,1
South Carolina,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0
Tennessee,1,1,0,0,0,0
Texas,0,0,0,0,0,0
Utah,0,0,0,0,0,0
Vermont,1,1,1,1,1,1
Virginia,0,0,0,0,1,1
Washington,1,1,1,1,1,1
West Virginia,1,1,0,0,0,0
Wisconsin,1,1,1,1,1,1
Wyoming,0,0,0,0,0,0
